case,level_1,id,org:resource,concept:name,time:timestamp,org:role,case_start,time_from_start,time_from_last,time_from_start_category,time_from_last_category,case_end,cumulativeTimeS,remainingTimeS,executionTimeS,cumulativeTimeCategory,executionTimeCategory,remainingTimeNor,executionTimeD,cumulativeTimeD,remainingTimeD
1,0,st_step 86794_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-09 08:49:50+00:00,EMPLOYEE,2017-01-09 08:49:50+00:00,0,0.0,1,1,2017-01-12 16:31:22+00:00,0,286892,0.0,1,1,0.007076411440594792,0.0,0.0,3.320509259
1,1,st_step 86793_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-09 10:27:48+00:00,SUPERVISOR,2017-01-09 08:49:50+00:00,5878,5878.0,3,3,2017-01-12 16:31:22+00:00,5878,281014,5878.0,3,3,0.006931426057775417,0.068032407,0.068032407,3.252476852
1,2,dd_declaration 86791_19,SYSTEM,Request Payment,2017-01-10 08:34:44+00:00,UNDEFINED,2017-01-09 08:49:50+00:00,85494,79616.0,5,5,2017-01-12 16:31:22+00:00,85494,201398,79616.0,5,5,0.004967636292796279,0.921481481,0.989513889,2.33099537
1,3,dd_declaration 86791_20,SYSTEM,Payment Handled,2017-01-12 16:31:22+00:00,UNDEFINED,2017-01-09 08:49:50+00:00,286892,201398.0,6,5,2017-01-12 16:31:22+00:00,286892,0,201398.0,6,5,0.0,2.33099537,3.320509259,0.0
2,4,st_step 86798_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-09 09:26:14+00:00,EMPLOYEE,2017-01-09 09:26:14+00:00,0,0.0,1,1,2017-03-13 16:30:59+00:00,0,5468685,0.0,1,1,0.13488931409383717,0.0,0.0,63.294965278
2,5,st_step 86799_0,STAFF MEMBER,Declaration APPROVED by PRE_APPROVER,2017-02-22 09:29:21+00:00,PRE_APPROVER,2017-01-09 09:26:14+00:00,3801787,3801787.0,7,7,2017-03-13 16:30:59+00:00,3801787,1666898,3801787.0,7,7,0.04111531892665037,44.002164352,44.002164352,19.292800926
2,6,st_step 86797_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-02-23 07:14:45+00:00,SUPERVISOR,2017-01-09 09:26:14+00:00,3880111,78324.0,7,5,2017-03-13 16:30:59+00:00,3880111,1588574,78324.0,7,5,0.039183397333600906,0.906527778,44.90869213,18.386273148
2,7,dd_declaration 86795_19,SYSTEM,Request Payment,2017-03-06 13:07:25+00:00,UNDEFINED,2017-01-09 09:26:14+00:00,4851671,971560.0,7,6,2017-03-13 16:30:59+00:00,4851671,617014,971560.0,7,6,0.015219124020910848,11.244907407,56.153599537,7.141365741
2,8,dd_declaration 86795_20,SYSTEM,Payment Handled,2017-03-13 16:30:59+00:00,UNDEFINED,2017-01-09 09:26:14+00:00,5468685,617014.0,7,6,2017-03-13 16:30:59+00:00,5468685,0,617014.0,7,6,0.0,7.141365741,63.294965278,0.0
3,9,st_step 86804_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-09 10:13:33+00:00,EMPLOYEE,2017-01-09 10:13:33+00:00,0,0.0,1,1,2017-02-13 16:32:14+00:00,0,3046721,0.0,1,1,0.07514971257720816,0.0,0.0,35.262974537
3,10,st_step 86802_0,STAFF MEMBER,Declaration APPROVED by PRE_APPROVER,2017-02-02 17:58:50+00:00,PRE_APPROVER,2017-01-09 10:13:33+00:00,2101517,2101517.0,7,7,2017-02-13 16:32:14+00:00,2101517,945204,2101517.0,7,7,0.023314182337938878,24.323113426,24.323113426,10.939861111
3,11,st_step 86803_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-02-09 04:15:04+00:00,SUPERVISOR,2017-01-09 10:13:33+00:00,2656891,555374.0,7,6,2017-02-13 16:32:14+00:00,2656891,389830,555374.0,7,6,0.00961545624097942,6.427939815,30.751053241,4.511921296
3,12,dd_declaration 86800_19,SYSTEM,Request Payment,2017-02-09 15:00:15+00:00,UNDEFINED,2017-01-09 10:13:33+00:00,2695602,38711.0,7,4,2017-02-13 16:32:14+00:00,2695602,351119,38711.0,7,4,0.00866061970570878,0.448043981,31.199097222,4.063877315
3,13,dd_declaration 86800_20,SYSTEM,Payment Handled,2017-02-13 16:32:14+00:00,UNDEFINED,2017-01-09 10:13:33+00:00,3046721,351119.0,7,6,2017-02-13 16:32:14+00:00,3046721,0,351119.0,7,6,0.0,4.063877315,35.262974537,0.0
4,14,st_step 86733_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-09 10:24:20+00:00,EMPLOYEE,2017-01-09 10:24:20+00:00,0,0.0,1,1,2017-01-16 16:32:14+00:00,0,626874,0.0,1,1,0.015462328490900477,0.0,0.0,7.255486111
4,15,st_step 86734_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-09 10:37:23+00:00,SUPERVISOR,2017-01-09 10:24:20+00:00,783,783.0,2,2,2017-01-16 16:32:14+00:00,783,626091,783.0,2,2,0.015443015194754243,0.0090625,0.0090625,7.246423611
4,16,dd_declaration 86731_19,SYSTEM,Request Payment,2017-01-11 13:37:18+00:00,UNDEFINED,2017-01-09 10:24:20+00:00,184378,183595.0,5,5,2017-01-16 16:32:14+00:00,184378,442496,183595.0,5,5,0.010914503565165405,2.12494213,2.13400463,5.121481481
4,17,dd_declaration 86731_20,SYSTEM,Payment Handled,2017-01-16 16:32:14+00:00,UNDEFINED,2017-01-09 10:24:20+00:00,626874,442496.0,6,6,2017-01-16 16:32:14+00:00,626874,0,442496.0,6,6,0.0,5.121481481,7.255486111,0.0
5,18,st_step 86738_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-09 10:30:26+00:00,EMPLOYEE,2017-01-09 10:30:26+00:00,0,0.0,1,1,2017-01-16 16:32:14+00:00,0,626508,0.0,1,1,0.01545330081990492,0.0,0.0,7.25125
5,19,st_step 86737_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-09 10:37:18+00:00,SUPERVISOR,2017-01-09 10:30:26+00:00,412,412.0,2,2,2017-01-16 16:32:14+00:00,412,626096,412.0,2,2,0.01544313852359298,0.004768519,0.004768519,7.246481481
5,20,dd_declaration 86735_19,SYSTEM,Request Payment,2017-01-11 13:37:18+00:00,UNDEFINED,2017-01-09 10:30:26+00:00,184012,183600.0,5,5,2017-01-16 16:32:14+00:00,184012,442496,183600.0,5,5,0.010914503565165405,2.125,2.129768519,5.121481481
5,21,dd_declaration 86735_20,SYSTEM,Payment Handled,2017-01-16 16:32:14+00:00,UNDEFINED,2017-01-09 10:30:26+00:00,ID626508,442496.0,6,6,2017-01-16 16:32:14+00:00,626508,0,442496.0,6,6,0.0,5.121481481,7.25125,0.0
6,22,st_step 86807_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-09 10:40:47+00:00,EMPLOYEE,2017-01-09 10:40:47+00:00,0,0.0,1,1,2017-01-30 16:31:35+00:00,0,1835448,0.0,1,1,0.045272734080479174,0.0,0.0,21.243611111
6,23,st_step 86808_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-09 10:41:23+00:00,SUPERVISOR,2017-01-09 10:40:47+00:00,36,36.0,1,1,2017-01-30 16:31:35+00:00,36,1835412,36.0,1,1,0.04527184611284026,0.000416667,0.000416667,21.243194444
6,24,dd_declaration 86805_19,SYSTEM,Request Payment,2017-01-25 09:31:31+00:00,UNDEFINED,2017-01-09 10:40:47+00:00,1378244,1378208.0,7,7,2017-01-30 16:31:35+00:00,1378244,457204,1378208.0,7,7,0.01127728767719456,15.951481481,15.951898148,5.291712963
