case,id,org:resource,concept:name,time:timestamp,org:role,case_start,time_from_start,time_from_last,time_from_start_category,time_from_last_category
1,st_step 86794_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-09 08:49:50+00:00,EMPLOYEE,2017-01-09 08:49:50+00:00,0,0.0,1,1
1,st_step 86793_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-09 10:27:48+00:00,SUPERVISOR,2017-01-09 08:49:50+00:00,5878,5878.0,3,3
1,dd_declaration 86791_19,SYSTEM,Request Payment,2017-01-10 08:34:44+00:00,UNDEFINED,2017-01-09 08:49:50+00:00,85494,79616.0,5,5
1,dd_declaration 86791_20,SYSTEM,Payment Handled,2017-01-12 16:31:22+00:00,UNDEFINED,2017-01-09 08:49:50+00:00,286892,201398.0,6,5
2,st_step 86798_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-09 09:26:14+00:00,EMPLOYEE,2017-01-09 09:26:14+00:00,0,0.0,1,1
2,st_step 86799_0,STAFF MEMBER,Declaration APPROVED by PRE_APPROVER,2017-02-22 09:29:21+00:00,PRE_APPROVER,2017-01-09 09:26:14+00:00,3801787,3801787.0,7,7
2,st_step 86797_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-02-23 07:14:45+00:00,SUPERVISOR,2017-01-09 09:26:14+00:00,3880111,78324.0,7,5
2,dd_declaration 86795_19,SYSTEM,Request Payment,2017-03-06 13:07:25+00:00,UNDEFINED,2017-01-09 09:26:14+00:00,4851671,971560.0,7,6
2,dd_declaration 86795_20,SYSTEM,Payment Handled,2017-03-13 16:30:59+00:00,UNDEFINED,2017-01-09 09:26:14+00:00,5468685,617014.0,7,6
3,st_step 86804_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-09 10:13:33+00:00,EMPLOYEE,2017-01-09 10:13:33+00:00,0,0.0,1,1
